index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
67,a_20,HVF,665349,670616,DVF,HVF,HPE,670617,671461,671961,671460,671960,679848
68,a_21,HVF,95115,100201,DVF,HVF,HAS,100202,101045,101256,101044,101255,105489
69,a_21,HVF,201974,206055,DVF,HVF,HAS,206056,206900,207433,206899,207432,210337
70,a_21,HAS,207433,210332,DAS,HAS,HPE,210333,211160,211377,211159,211376,226346
71,a_21,HVF,317815,321070,DVF,HVF,HPE,321071,321900,321930,321899,321929,324734
72,a_21,HVF,446173,449907,DVF,HVF,HAS,449908,450735,451115,450734,451114,456057
73,a_22,HVF,100355,118504,DVF,HVF,HAS,118505,119347,119891,119346,119890,142500
74,a_23,HVF,429016,436262,DVF,HVF,HAS,436263,437106,437592,437105,437591,440575
75,a_23,HVF,553162,558712,DVF,HVF,HPE,558713,559556,560204,559555,560203,563033
76,a_23,HVF,646473,651951,DVF,HVF,HAS,651952,652796,653461,652795,653460,654774
77,a_23,HVF,803303,818824,DVF,HVF,HAS,818825,819666,819964,819665,819963,824566
78,a_23,HVF,859696,874569,DVF,HVF,HAS,874570,875411,876001,875410,876000,882500
79,a_24,HVF,121734,122691,DVF,HVF,HAS,122692,123536,124509,123535,124508,135236
80,a_24,HVF,216210,221802,DVF,HVF,HAS,221803,222646,223346,222645,223345,224252
81,a_24,HVF,314239,320413,DVF,HVF,HAS,320414,321256,321889,321255,321888,323551
82,a_24,HVF,412928,418409,DVF,HVF,HAS,418410,419251,419864,419250,419863,424454
83,a_24,HVF,535347,542832,DVF,HVF,HAS,542833,543676,544052,543675,544051,547513
84,a_25,HVF,22563,25845,DVF,HVF,HPE,25846,26688,27557,26687,27556,34987
85,a_25,HVF,72841,77370,DVF,HVF,HAS,77371,78213,78774,78212,78773,81124
86,a_25,HVF,123612,133448,DVF,HVF,HAS,133449,134288,134830,134287,134829,135736
87,a_25,HVF,184135,190216,DVF,HVF,HAS,190217,191058,191590,191057,191589,192699
88,a_25,HVF,250717,255746,DVF,HVF,HAS,255747,256588,257540,256587,257539,263430
89,a_25,HVF,310911,317063,DVF,HVF,HAS,317064,317903,319239,317902,319238,322927
90,a_25,HVF,437040,443735,DVF,HVF,HAS,443736,444578,445099,444577,445098,447341
91,a_25,HVF,528981,533953,DVF,HVF,HPE,533954,534798,535665,534797,535664,540060
92,a_25,HVF,540061,544475,DVF,HVF,HPE,544476,545318,545721,545317,545720,559071
93,a_25,HVF,559072,567072,DVF,HVF,HAS,567073,567913,568452,567912,568451,574942
